City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
360,Boyolangu,ID,75.34,-8.1181,111.8935,Yos ega cv
361,Praya,CV,77.54,14.9215,-23.5087,LT Aparthotel
362,Beihai,CN,79.09,21.4833,109.1,21 Degree Hostel
363,Konnur,IN,77.79,16.2,74.75,Mugalkhod
370,Galle,LK,79.48,6.0367,80.217,Amangalla
373,Talisayan,PH,78.62,6.9872,121.9272,Mar y Monte Resort
381,Bambous Virieux,MU,75.22,-20.3428,57.7575,Casa Tia Villa
382,Tual,ID,83.39,-5.6667,132.75,Grand Vilia Hotel
383,Salinopolis,BR,79.29,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
386,Bela,IN,85.86,25.9333,81.9833,Raj Bhawan
387,Greenville,US,84.13,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
389,Socorro,US,79.5,31.6546,-106.3033,guarderia imss papalote
394,Mitu,CO,88.68,1.1983,-70.1733,
395,Umm Lajj,SA,78.13,25.0213,37.2685,Moon light Furnished Units
397,Mandla,IN,88.57,22.6,80.3833,Bison Resort
400,Pipri,IN,84.52,19.8,75.5333,Sukhana River nilu and rushi home
406,Maceio,BR,83.64,-9.6658,-35.7353,Hotel Ponta Verde Maceió
409,Bousse,BF,87.71,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
412,Ishigaki,JP,78.85,24.3448,124.1572,Hotel Peace Land Ishigakijima
414,Banes,CU,84.25,20.9625,-75.7186,Hostal Iván y yailet
427,Safaga,EG,80.96,26.7292,33.9365,Lamar Resort Abu Soma
434,Pedernales,DO,85.53,18.0384,-71.744,Hotel Costa Marina
438,Goodyear,US,88.9,33.4353,-112.3582,Best Western Phoenix Goodyear Inn
