City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,Beyneu,45.3167,55.2,55.63,41,62,9.1,KZ,2022-05-21 19:34:28
346,Venado Tuerto,-33.7456,-61.9688,66.76,24,0,4.07,AR,2022-05-21 19:34:28
347,Saint-Georges,12.0564,-61.7485,87.48,58,20,19.57,GD,2022-05-21 19:34:29
348,Chara,56.9064,118.2631,45.45,67,100,2.71,RU,2022-05-21 19:34:29
349,Quelimane,-17.8786,36.8883,74.21,91,9,7.36,MZ,2022-05-21 19:34:29
350,Saldanha,-33.0117,17.9442,51.85,78,35,7.0,ZA,2022-05-21 19:34:30
351,Awbari,26.5921,12.7805,75.94,9,0,14.07,LY,2022-05-21 19:34:30
352,Dillon,34.4166,-79.3712,91.74,51,93,4.99,US,2022-05-21 19:34:30
353,Luocheng,29.3848,104.0286,62.76,91,100,2.48,CN,2022-05-21 19:34:31
354,Fortuna,40.5982,-124.1573,62.92,71,40,13.8,US,2022-05-21 19:34:31
355,Durban,-29.8579,31.0292,60.93,99,100,8.99,ZA,2022-05-21 19:34:32
356,Guarapari,-20.6667,-40.4975,69.73,71,3,6.46,BR,2022-05-21 19:34:32
357,Hofn,64.2539,-15.2082,48.83,84,100,9.01,IS,2022-05-21 19:34:32
358,Dano,11.15,-3.0667,85.82,51,100,7.02,BF,2022-05-21 19:34:33
359,Makakilo City,21.3469,-158.0858,81.01,71,0,8.05,US,2022-05-21 19:34:33
360,Ronne,55.1009,14.7066,51.71,87,75,6.91,DK,2022-05-21 19:34:33
361,Ndele,8.4109,20.6473,71.89,91,100,6.78,CF,2022-05-21 19:34:34
362,Hasaki,35.7333,140.8333,59.4,89,100,18.07,JP,2022-05-21 19:34:34
363,Seymchan,62.8833,152.4333,41.11,74,100,6.26,RU,2022-05-21 19:34:34
364,Jurm,36.8648,70.8342,59.9,59,3,2.42,AF,2022-05-21 19:34:35
365,Zhuhai,22.2769,113.5678,78.85,89,20,14.97,CN,2022-05-21 19:34:35
366,Phek,25.6667,94.5,52.38,96,10,1.57,IN,2022-05-21 19:34:35
367,Mecca,21.4267,39.8261,89.19,25,5,1.3,SA,2022-05-21 19:33:29
368,Yarmouth,41.7057,-70.2286,83.14,85,0,10.0,US,2022-05-21 19:35:36
369,Gukovo,48.0531,39.9311,54.19,96,100,21.9,RU,2022-05-21 19:35:36
370,Zaranj,30.9667,61.8833,82.36,28,0,28.59,AF,2022-05-21 19:35:37
371,Maneromango,-7.1988,38.7848,67.84,96,71,4.63,TZ,2022-05-21 19:35:37
372,Abu Samrah,35.3029,37.1841,75.97,14,99,8.72,SY,2022-05-21 19:35:38
373,Aosta,45.7667,7.4167,66.97,28,40,3.44,IT,2022-05-21 19:35:38
374,Vila Velha,-20.3297,-40.2925,75.15,64,20,14.97,BR,2022-05-21 19:35:10
375,Port-Gentil,-0.7193,8.7815,78.76,82,100,13.87,GA,2022-05-21 19:35:38
376,Nushki,29.5542,66.0215,77.34,7,0,3.56,PK,2022-05-21 19:35:39
377,Husavik,66.0449,-17.3389,41.2,98,100,11.18,IS,2022-05-21 19:35:39
378,Ulladulla,-35.35,150.4667,54.77,87,100,9.37,AU,2022-05-21 19:35:40
379,Denpasar,-8.65,115.2167,76.71,94,20,4.61,ID,2022-05-21 19:35:40
380,Sabang,5.8933,95.3214,83.66,78,100,21.85,ID,2022-05-21 19:35:40
381,Ouallam,14.3188,2.0866,91.31,30,23,10.02,NE,2022-05-21 19:35:41
382,Tura,25.5198,90.2201,71.33,97,75,1.16,IN,2022-05-21 19:35:41
383,Lasa,46.6166,10.7002,68.88,65,76,5.99,IT,2022-05-21 19:35:42
384,Kahului,20.8947,-156.47,84.97,63,40,14.97,US,2022-05-21 19:33:14
385,Rawson,-43.3002,-65.1023,63.1,38,89,14.07,AR,2022-05-21 19:35:42
386,Margate,51.3813,1.3862,59.88,69,100,1.99,GB,2022-05-21 19:35:43
387,Hami,42.8,93.45,76.37,24,0,16.6,CN,2022-05-21 19:35:44
388,Sioux Lookout,50.1001,-91.917,41.07,56,75,6.91,CA,2022-05-21 19:35:44
389,Druzhba,52.0428,33.9453,53.53,97,100,5.73,UA,2022-05-21 19:35:03
390,Cao Bang,22.6667,106.25,69.08,98,100,1.05,VN,2022-05-21 19:35:45
391,Voi,-3.3945,38.563,69.87,84,75,7.72,KE,2022-05-21 19:35:46
392,Puerto Leguizamo,-0.1934,-74.7819,77.63,87,89,2.35,CO,2022-05-21 19:35:46
393,Ahipara,-35.1667,173.1667,60.26,77,100,13.11,NZ,2022-05-21 19:32:13
394,Rupert,42.6191,-113.6772,60.75,23,40,11.5,US,2022-05-21 19:35:47
395,Okha,53.5739,142.9478,32.63,99,100,8.59,RU,2022-05-21 19:35:48
396,Erzin,36.9559,36.2,70.56,27,3,7.2,TR,2022-05-21 19:35:48
397,Pacific Grove,36.6177,-121.9166,73.35,76,0,8.01,US,2022-05-21 19:31:32
398,Veraval,20.9,70.3667,82.89,79,31,19.82,IN,2022-05-21 19:35:49
399,San Quintin,30.4833,-115.95,65.19,58,0,11.07,MX,2022-05-21 19:35:49
400,Dalbandin,28.8947,64.4101,85.28,10,0,6.08,PK,2022-05-21 19:35:50
401,Severo-Kurilsk,50.6789,156.125,42.01,95,97,2.04,RU,2022-05-21 19:35:50
402,Calbuco,-41.768,-73.1273,56.41,85,100,22.82,CL,2022-05-21 19:35:51
403,Zhaozhou,45.6833,125.3167,55.58,58,8,5.39,CN,2022-05-21 19:35:51
404,Novaya Chigla,51.2233,40.4781,48.33,86,100,8.66,RU,2022-05-21 19:35:51
405,San Luis,-33.295,-66.3356,68.88,20,0,8.66,AR,2022-05-21 19:35:52
406,La Ronge,55.1001,-105.2842,55.65,21,40,10.36,CA,2022-05-21 19:35:52
407,Inhambane,-23.865,35.3833,69.78,94,75,6.91,MZ,2022-05-21 19:35:53
408,Tyrma,50.0833,132.1667,42.39,95,63,1.63,RU,2022-05-21 19:35:53
409,Saint-Francois,46.4154,3.9054,74.64,64,0,6.91,FR,2022-05-21 19:35:54
410,Ribeira Brava,32.65,-17.0667,70.43,83,19,2.06,PT,2022-05-21 19:35:54
411,Tres Picos,15.8667,-93.5333,89.71,52,100,8.14,MX,2022-05-21 19:35:54
412,Tilichiki,60.4667,166.1,35.22,88,100,2.62,RU,2022-05-21 19:35:55
413,Half Moon Bay,37.4636,-122.4286,86.54,52,0,11.5,US,2022-05-21 19:31:40
414,Vicksburg,32.3526,-90.8779,96.48,47,0,10.36,US,2022-05-21 19:36:55
415,Wlodawa,51.55,23.55,54.81,70,47,15.17,PL,2022-05-21 19:36:56
416,Valparaiso,-33.0393,-71.6273,75.43,52,0,13.8,CL,2022-05-21 19:36:56
417,Bonwapitse,-23.0766,26.7037,51.42,57,78,8.57,BW,2022-05-21 19:36:56
418,Anyama,5.4946,-4.0518,76.01,95,100,7.76,CI,2022-05-21 19:36:57
419,General Roca,-39.0333,-67.5833,70.63,21,53,11.01,AR,2022-05-21 19:32:46
420,Tabou,4.423,-7.3528,77.52,83,100,9.31,CI,2022-05-21 19:36:57
421,Darhan,49.4867,105.9228,53.51,78,61,0.69,MN,2022-05-21 19:36:58
422,Coffs Harbour,-30.3,153.1333,58.96,94,75,12.66,AU,2022-05-21 19:36:58
423,Karasburg,-28.0167,18.75,50.94,50,0,7.27,NA,2022-05-21 19:36:59
424,Sungairaya,0.7,108.9,77.88,91,100,4.25,ID,2022-05-21 19:36:59
425,Coihueco,-36.6167,-71.8333,57.94,63,75,6.91,CL,2022-05-21 19:36:59
426,Hwange,-18.3693,26.5019,57.87,32,0,5.99,ZW,2022-05-21 19:37:00
427,Anton Lizardo,19.05,-95.9833,100.62,63,0,13.35,MX,2022-05-21 19:37:00
428,Megion,61.0296,76.1136,46.42,79,61,9.95,RU,2022-05-21 19:37:00
429,Shubarkuduk,49.1447,56.4872,42.12,81,99,20.49,KZ,2022-05-21 19:37:01
430,Nogales,31.3086,-110.9422,84.33,11,0,16.11,MX,2022-05-21 19:37:01
431,Longyearbyen,78.2186,15.6401,37.24,70,75,6.91,SJ,2022-05-21 19:37:02
432,Buique,-8.6231,-37.1558,67.95,91,97,10.33,BR,2022-05-21 19:37:02
433,El Colomo,19.05,-104.25,78.78,59,23,8.37,MX,2022-05-21 19:37:02
434,Maceio,-9.6658,-35.7353,78.24,88,75,9.22,BR,2022-05-21 19:33:05
435,Talara,-4.5772,-81.2719,75.96,64,100,14.97,PE,2022-05-21 19:37:03
436,Katherine,-14.4667,132.2667,68.32,56,52,6.91,AU,2022-05-21 19:37:03
