City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Esso,RU,55.9333,158.7,33.35,96,83,3.13,broken clouds
227,Bayan,CN,46.0833,127.4,59.83,71,47,3.51,scattered clouds
228,East London,ZA,-33.0153,27.9116,64.58,71,6,2.57,clear sky
229,Kodiak,US,57.79,-152.4072,45.91,87,100,14.97,overcast clouds
230,Bavaniste,RS,44.8189,20.8758,75.38,53,91,8.99,overcast clouds
231,Puqi,CN,29.7167,113.8833,67.82,88,75,2.71,broken clouds
232,Teguldet,RU,57.3064,88.1667,50.7,62,14,3.69,few clouds
233,Lasa,IT,46.6166,10.7002,72.36,67,91,6.93,overcast clouds
234,Shingu,JP,33.7333,135.9833,62.15,74,100,5.46,overcast clouds
235,Pulaski,US,34.7668,-92.3001,68.11,71,100,6.91,overcast clouds
236,Laguna,US,38.421,-121.4238,82.15,34,0,8.05,clear sky
237,Black Forest,US,39.0131,-104.7008,48.97,73,75,10.36,broken clouds
238,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,64,29,11.43,scattered clouds
239,Ribeira Grande,PT,38.5167,-28.7,64.8,94,75,12.66,broken clouds
240,Kidal,ML,18.4411,1.4078,97.99,20,35,12.35,scattered clouds
241,Guerrero Negro,MX,27.9769,-114.0611,65.64,61,25,13.31,scattered clouds
242,Tolaga Bay,NZ,-38.3667,178.3,49.91,86,56,4.94,broken clouds
243,Antofagasta,CL,-23.65,-70.4,65.89,68,39,6.38,scattered clouds
244,Faanui,PF,-16.4833,-151.75,81.07,72,10,14.7,clear sky
245,Poso,ID,-1.3959,120.7524,77.45,87,85,3.74,overcast clouds
246,Padang,ID,-0.9492,100.3543,78.31,86,51,4.07,broken clouds
247,Vung Tau,VN,10.346,107.0843,81.37,77,100,6.11,overcast clouds
248,Norman Wells,CA,65.282,-126.8329,44.53,42,69,3.85,broken clouds
249,Mar Del Plata,AR,-38.0023,-57.5575,62.62,70,75,4.61,broken clouds
250,Hibbing,US,47.4272,-92.9377,60.15,35,100,4.61,overcast clouds
251,Tura,IN,25.5198,90.2201,73.42,88,0,4.94,clear sky
252,Paita,PE,-5.0892,-81.1144,71.4,70,24,12.95,few clouds
253,Shu,KZ,43.5983,73.7614,55.11,57,89,7.9,overcast clouds
254,Trelew,AR,-43.249,-65.3051,54.5,31,26,19.73,scattered clouds
255,Broome,US,42.2506,-75.833,65.66,56,40,11.5,scattered clouds
256,West Lafayette,US,40.4259,-86.9081,63.61,43,0,13.8,clear sky
257,Lerwick,GB,60.1545,-1.1494,51.8,73,81,4.97,broken clouds
258,Husavik,IS,66.0449,-17.3389,40.35,83,85,3.83,overcast clouds
259,Batemans Bay,AU,-35.7167,150.1833,55.09,83,95,4.09,overcast clouds
260,Poyarkovo,RU,49.6,128.6833,45.32,86,89,6.85,overcast clouds
261,Sortland,NO,68.6949,15.4162,57.16,53,55,2.98,broken clouds
262,Katsuura,JP,35.1333,140.3,61.7,79,87,4.12,overcast clouds
263,Tabou,CI,4.423,-7.3528,79.23,84,80,9.48,light rain
264,Yumen,CN,40.2833,97.2,75.16,15,100,28.41,overcast clouds
265,Cervo,ES,43.6702,-7.4101,61.97,69,28,16.17,scattered clouds
266,Matara,LK,5.9485,80.5353,78.28,90,100,10.29,overcast clouds
267,Biltine,TD,14.5333,20.9167,96.57,10,49,13.51,scattered clouds
268,Mosquera,CO,4.7059,-74.2302,68.09,45,75,6.91,broken clouds
269,Taksimo,RU,56.3444,114.8794,46.8,74,64,4.9,broken clouds
270,Inuvik,CA,68.3499,-133.7218,28.83,70,36,4.9,scattered clouds
271,Sorland,NO,67.667,12.6934,51.66,80,100,14.09,overcast clouds
272,Morondava,MG,-20.2833,44.2833,77.85,74,0,11.88,clear sky
273,Guane,CU,22.2025,-84.0875,89.78,51,100,9.71,overcast clouds
274,Mongu,ZM,-15.2484,23.1274,61.61,36,0,5.55,clear sky
275,Donegal,IE,54.65,-8.1167,53.65,71,67,10.38,broken clouds
276,Ixtapa,MX,20.7,-105.2,79.83,65,20,9.22,few clouds
277,Geraldton,AU,-28.7667,114.6,66.61,68,75,18.41,broken clouds
278,Tiznit,MA,29.5833,-9.5,80.29,42,83,10.47,broken clouds
279,Boa Vista,BR,2.8197,-60.6733,84.18,70,75,5.75,broken clouds
280,Biak,ID,-0.9131,122.8766,76.96,86,86,2.82,overcast clouds
281,Bontang,ID,0.1333,117.5,79.16,83,94,3.42,overcast clouds
282,Rio Gallegos,AR,-51.6226,-69.2181,37.45,60,0,20.71,clear sky
283,Ilulissat,GL,69.2167,-51.1,35.62,87,75,8.05,broken clouds
284,Kabarnet,KE,0.4919,35.743,58.21,91,47,5.46,moderate rain
285,Kaeo,NZ,-35.1,173.7833,49.96,81,3,4.38,clear sky
286,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,83,100,10.98,overcast clouds
287,Pilani,IN,28.3684,75.6041,77.59,63,83,21.25,broken clouds
288,Bodden Town,KY,19.2833,-81.25,86.0,74,20,11.5,haze
289,Tiksi,RU,71.6872,128.8694,32.11,98,100,2.19,overcast clouds
290,Dromolaxia,CY,34.8761,33.586,78.46,41,0,12.66,clear sky
291,Arman,RU,59.7,150.1667,33.85,98,100,1.81,overcast clouds
292,Takoradi,GH,4.8845,-1.7554,80.26,81,96,8.39,moderate rain
293,Den Helder,NL,52.9599,4.7593,55.98,94,100,18.99,overcast clouds
294,Katherine,AU,-14.4667,132.2667,68.32,64,60,4.61,broken clouds
295,Kalangala,UG,-0.3089,32.225,74.55,64,13,6.98,few clouds
296,Mirabad,AF,30.4362,61.8383,85.01,7,0,7.81,clear sky
297,Neuquen,AR,-38.9516,-68.0591,54.03,41,89,10.33,moderate rain
298,Zwedru,LR,6.0667,-8.1281,77.13,94,98,4.5,moderate rain
299,Agadez,NE,19.75,10.25,97.95,7,76,6.96,broken clouds
300,Krasnyy Chikoy,RU,50.3643,108.7512,43.07,60,57,4.36,broken clouds
301,Port Blair,IN,11.6667,92.75,82.89,83,100,20.74,overcast clouds
302,Dali,CN,25.7,100.1833,62.69,87,31,3.22,scattered clouds
303,Ostrovnoy,RU,68.0531,39.5131,31.64,90,100,18.12,light snow
304,Ponta Do Sol,PT,32.6667,-17.1,72.72,71,12,2.15,few clouds
305,Banda Aceh,ID,5.5577,95.3222,81.01,81,97,12.8,overcast clouds
306,Kita,ML,13.0349,-9.4895,96.85,25,74,9.98,broken clouds
307,Stepnyak,KZ,52.8339,70.7803,57.51,62,98,10.76,overcast clouds
308,Nichinan,JP,31.6,131.3667,62.92,87,17,7.0,few clouds
309,Careiro Da Varzea,BR,-3.2003,-59.8119,84.81,55,13,2.51,few clouds
310,Clyde River,CA,70.4692,-68.5914,17.83,73,0,19.57,clear sky
311,Edea,CM,3.8,10.1333,73.0,99,100,1.57,light rain
312,Roma,US,43.2128,-75.4557,66.96,54,75,10.36,broken clouds
313,Kyra,RU,49.5776,111.9753,49.24,53,100,3.96,overcast clouds
314,Trat,TH,12.5,102.5,75.81,95,100,2.24,overcast clouds
315,Sinnamary,GF,5.3833,-52.95,80.58,80,44,4.85,scattered clouds
316,Mogadishu,SO,2.0371,45.3438,80.28,85,61,18.41,broken clouds
317,Carros,FR,43.7894,7.184,76.3,74,0,8.05,clear sky
318,Liaocheng,CN,36.4439,115.9647,73.47,28,94,6.02,overcast clouds
319,Wamba,NG,8.9333,8.6,85.59,57,92,5.75,light rain
320,Luganville,VU,-15.5333,167.1667,77.5,88,72,3.09,broken clouds
321,Abu Dhabi,AE,24.4667,54.3667,89.71,78,0,6.91,clear sky
322,Nichlaul,IN,27.3167,83.7333,80.6,53,17,9.71,few clouds
323,Rio Grande,BR,-32.035,-52.0986,69.91,63,11,7.31,few clouds
324,La Libertad,EC,-2.2333,-80.9,73.06,78,100,12.66,overcast clouds
325,Aksu,CN,41.1231,80.2644,79.21,20,100,8.28,overcast clouds
326,Tartus,SY,34.889,35.8866,68.5,82,0,24.96,clear sky
327,Caravelas,BR,-17.7125,-39.2481,73.76,72,67,7.23,broken clouds
328,Lhokseumawe,ID,5.1801,97.1507,79.59,87,96,4.09,overcast clouds
329,Lokoja,NG,7.8024,6.743,86.29,59,82,6.96,broken clouds
330,Cockburn Town,TC,21.4612,-71.1419,79.25,76,46,16.33,scattered clouds
331,Torbay,CA,47.6666,-52.7314,65.28,41,13,21.56,few clouds
332,Richards Bay,ZA,-28.783,32.0377,65.53,83,91,6.87,overcast clouds
333,Hami,CN,42.8,93.45,85.03,12,100,9.15,overcast clouds
334,Nhulunbuy,AU,-12.2333,136.7667,79.41,83,40,6.91,scattered clouds
335,High Level,CA,58.5169,-117.136,44.92,58,100,6.62,overcast clouds
336,Longyearbyen,SJ,78.2186,15.6401,35.44,93,75,0.0,broken clouds
337,Ranot,TH,7.7777,100.3213,82.8,79,100,10.96,overcast clouds
338,Suraabad,AZ,40.8192,49.4687,61.43,84,82,17.38,light rain
339,Itatinga,BR,-23.1017,-48.6158,72.88,33,67,6.17,broken clouds
340,Kieta,PG,-6.2167,155.6333,78.78,84,36,2.95,light rain
341,Pandharpur,IN,17.6667,75.3333,85.28,53,24,22.57,few clouds
342,Coquimbo,CL,-29.9533,-71.3436,65.93,59,0,12.66,clear sky
343,Nome,US,64.5011,-165.4064,48.27,66,20,0.0,few clouds
344,Marzuq,YE,14.4,46.4667,81.73,24,8,4.68,clear sky
345,Cluj-Napoca,RO,46.7667,23.6,63.88,42,0,8.05,clear sky
346,Chitral,PK,35.8462,71.7858,64.98,40,66,2.62,broken clouds
347,Smithers,CA,54.7804,-127.1743,51.78,59,99,4.47,overcast clouds
348,Aldan,RU,58.6031,125.3894,38.46,73,12,3.56,few clouds
349,Puerto Palomas,MX,31.7667,-107.6167,78.06,20,26,5.53,scattered clouds
350,Gboko,NG,7.3179,8.9951,77.76,79,100,12.26,overcast clouds
351,Sao Francisco,BR,-15.9486,-44.8644,88.61,22,0,4.16,light rain
352,Formosa,AR,-26.1775,-58.1781,76.98,50,0,2.3,clear sky
353,Aesch,CH,47.471,7.5973,69.35,71,75,9.22,broken clouds
